id,type,attack_id,attack_name,attack_description
attack-pattern--0e6abb17-0f81-4988-9fd2-4ba0b673d729,pre-attack,['T1384'],Automated system performs requested action,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    users may be performing legitimate activity but using media that is compromised  e_g_  using a usb drive that comes with malware installed during manufacture or supply   upon insertion in the system the media auto runs and the malware executes without further action by the user 
attack-pattern--0fad2267-9f46-4ebb-91b5-d543243732cb,pre-attack,['T1233'],Identify analyst level gaps,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   analysts identify gap areas that generate a compelling need to generate a key intelligence topic  kit  or key intelligence question  kiq  
attack-pattern--103d72e6-7e0d-4b3a-9373-c38567305c33,pre-attack,['T1344'],Friend/Follow/Connect to targets of interest,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   once a persona has been developed an adversary will use it to create connections to targets of interest  these connections may be direct or may include trying to connect through others 
attack-pattern--13ff5307-b650-405a-9664-d8076930b2bf,pre-attack,['T1363'],Port redirector,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   redirecting a communication request from one address and port number combination to another  may be set up to obfuscate the final location of communications that will occur in later stages of an attack   citation  secureworks htran analysis 
attack-pattern--15d5eaa4-597a-47fd-a692-f2bed434d904,pre-attack,['T1230'],Derive intelligence requirements,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   leadership or key decision makers may derive specific intelligence requirements from key intelligence topics  kits  or key intelligence questions  kiqs    specific intelligence requirements assist analysts in gathering information to establish a baseline of information about a topic or question and collection managers to clarify the types of information that should be collected to satisfy the requirement 
attack-pattern--15ef4da5-3b93-4bb1-a39a-5396661956d3,pre-attack,['T1347'],Build and configure delivery systems,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   delivery systems are the infrastructure used by the adversary to host malware or other tools used during exploitation  building and configuring delivery systems may include multiple activities such as registering domain names  renting hosting space  or configuring previously exploited environments 
attack-pattern--18bfa01c-9fa9-409f-91f5-4a2822609d81,pre-attack,['T1360'],Test physical access,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an  adversary can test physical access options in preparation for the actual attack  this could range from observing behaviors and noting security precautions to actually attempting access   citation  ociac pre incident indicators 
attack-pattern--194bff4f-c218-40df-bea3-1ace715de8dd,pre-attack,['T1264'],Identify technology usage patterns,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   technology usage patterns include identifying if users work offsite  connect remotely  or other possibly less restricted secured access techniques 
attack-pattern--1a295f87-af63-4d94-b130-039d6221fb11,pre-attack,['T1308'],Acquire and/or use 3rd party software services,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   a wide variety of  rd party software services  are available  e_g_     use of these solutions allow an adversary to stage  launch  and execute an attack from infrastructure that does not physically tie back to them and can be rapidly provisioned  modified  and shut down    citation  nemucod facebook 
attack-pattern--1def484d-2343-470d-8925-88f45b5f9615,pre-attack,['T1298'],Assess vulnerability of 3rd party vendors,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   once a  rd party vendor has been identified as being of interest it can be probed for vulnerabilities just like the main target would be 
attack-pattern--1f82ef59-b7da-4cd3-a41c-2e80f80f084f,pre-attack,['T1280'],Identify business processes/tempo,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   understanding an organizations business processes and tempo may allow an adversary to more effectively craft social engineering attempts or to better hide technical actions  such as those that generate network traffic 
attack-pattern--1ff8b824-5287-4583-ab6a-013bf36d4864,pre-attack,['T1320'],Data Hiding,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   certain types of traffic  e_g_  dns tunneling  header inject  allow for user defined fields  these fields can then be used to hide data  in addition to hiding data in network protocols  steganography techniques can be used to hide data in images or other file formats  detection can be difficult unless a particular signature is already known 
attack-pattern--2011ffeb-8003-41ef-b962-9d1cbfa35e6d,pre-attack,['T1282'],Determine physical locations,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   physical locality information may be used by an adversary to shape social engineering attempts  language  culture  events  weather  etc_  or to plan for physical actions such as dumpster diving or attempting to access a facility 
attack-pattern--20a66013-8dab-4ca3-a67d-766c842c561c,pre-attack,['T1311'],Dynamic DNS,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   dynamic dns is a method of automatically updating a name in the dns system  providers offer this rapid reconfiguration of ips to hostnames as a service 
attack-pattern--2141aea0-cf38-49aa-9e51-ac34092bc30a,pre-attack,['T1335'],Procure required equipment and software,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an adversary will require some physical hardware and software  they may only need a lightweight set up if most of their activities will take place using on line infrastructure  or  they may need to build extensive infrastructure if they want to test  communicate  and control other aspects of their activities on their own systems 
attack-pattern--23ecb7e0-0340-43d9-80a5-8971fe866ddf,pre-attack,['T1250'],Determine domain and IP address space,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   domain names are the human readable names used to represent one or more ip addresses  ip addresses are the unique identifier of computing devices on a network  both pieces of information are valuable to an adversary who is looking to understand the structure of a network 
attack-pattern--248cbfdd-fec4-451b-b2a9-e46d4b268e30,pre-attack,['T1325'],Fast Flux DNS,  this technique has been deprecated  please use  fast flux   a technique in which a fully qualified domain name has multiple ip addresses assigned to it which are swapped with extreme frequency  using a combination of round robin ip address and short time to live  ttl  for a dns resource record 
attack-pattern--271e6d40-e191-421a-8f87-a8102452c201,pre-attack,['T1342'],Develop social network persona digital footprint,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   both newly built personas and pre compromised personas may require development of additional documentation to make them seem real  this could include filling out profile information  developing social networks  or incorporating photos 
attack-pattern--274164c6-4297-42d4-84b5-2369e51013fe,pre-attack,['T1323'],Domain Generation Algorithms (DGA),  this technique has been deprecated  please use  domain generation   the use of algorithms in malware to periodically generate a large number of domain names which function as rendezvous points for malware command and control servers 
attack-pattern--27f3ddf8-1b77-4cc2-a4c0-e6da3d31a768,pre-attack,['T1346'],Obtain/re-use payloads,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   a payload is the part of the malware which performs a malicious action  the adversary may re use payloads when the needed capability is already available 
attack-pattern--286cc500-4291-45c2-99a1-e760db176402,pre-attack,['T1307'],Acquire and/or use 3rd party infrastructure services,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   a wide variety of cloud  virtual private services  hosting  compute  and storage solutions are available  additionally botnets are available for rent or purchase  use of these solutions allow an adversary to stage  launch  and execute an attack from infrastructure that does not physically tie back to them and can be rapidly provisioned  modified  and shut down 
attack-pattern--288b3cc3-f4da-4250-ab8c-d8b5dbed94ca,pre-attack,['T1256'],Identify web defensive services,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an adversary can attempt to identify web defensive services as   and  this may be done by passively detecting services  like  routing  or actively  such as by purposefully tripping security defenses   citation  nmap waf nse 
attack-pattern--2b9a666e-bd59-4f67-9031-ed41b428e04a,pre-attack,['T1266'],Acquire OSINT data sets and information,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   open source intelligence  osint  provides free  readily available information about a target while providing the target no indication they are of interest   such information can assist an adversary in crafting a successful approach for compromise 
attack-pattern--2c8a9df4-52a9-4770-94b3-5e95ab7d59f9,pre-attack,['T1375'],Leverage compromised 3rd party resources,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    the utilization of resources not owned by the adversary to launch exploits or operations  this includes utilizing equipment that was previously compromised or leveraging access  gained by other methods  such as compromising an employee at a business partner location  
attack-pattern--2ec57bf1-fcc3-4c19-9516-79b7fde483af,pre-attack,['T1370'],Untargeted client-side exploitation,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    a technique that takes advantage of flaws in client side applications without targeting specific users  for example  an exploit placed on an often widely used public web site intended for drive by delivery to whomever visits the site 
attack-pattern--2f442206-2983-4fc2-93fd-0a828e026412,pre-attack,['T1379'],Disseminate removable media,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   removable media containing malware can be injected in to a supply chain at large or small scale  it can also be physically placed for someone to find or can be sent to someone in a more targeted manner  the intent is to have the user utilize the removable media on a system where the adversary is trying to gain access 
attack-pattern--2fc04aa5-48c1-49ec-919a-b88241ef1d17,pre-attack,['T1368'],Spear phishing messages with text only,  this technique has been deprecated  please use  where appropriate_    emails with text only phishing messages do not contain any attachments or links to websites  they are designed to get a user to take a follow on action such as calling a phone number or wiring money  they can also be used to elicit an email response to confirm existence of an account or user   citation  paypal phone scam 
attack-pattern--3160347f-11ac-44a3-9640-a648b3c17a8f,pre-attack,['T1305'],Private whois services,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   every domain registrar maintains a publicly viewable database that displays contact information for every registered domain  private 'whois' services display alternative information  such as their own company data  rather than the owner of the domain 
attack-pattern--31a57c70-6709-4d06-a473-c3df1f74c1d4,pre-attack,['T1302'],Assess security posture of physical locations,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   physical access may be required for certain types of adversarial actions 
attack-pattern--31fa5b03-1ede-4fab-8a68-ed831fcf4899,pre-attack,['T1322'],Misattributable credentials,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   the use of credentials by an adversary with the intent to hide their true identity and or portray them self as another person or entity   an adversary may use misattributable credentials in an attack to convince a victim that credentials are legitimate and trustworthy when this is not actually the case 
attack-pattern--34450117-d1d5-417c-bb74-4359fc6551ca,pre-attack,['T1303'],Analyze presence of outsourced capabilities,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   outsourcing  the arrangement of one company providing goods or services to another company for something that could be done in house  provides another avenue for an adversary to target  businesses often have networks  portals  or other technical connections between themselves and their outsourced partner organizations that could be exploited  additionally  outsourced partner organization information could provide opportunities for phishing    citation  opm breach 
attack-pattern--357e137c-7589-4af1-895c-3fbad35ea4d2,pre-attack,['T1319'],Obfuscate or encrypt code,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   obfuscation is the act of creating code that is more difficult to understand  encoding transforms the code using a publicly available format  encryption transforms the code such that it requires a key to reverse the encryption 
attack-pattern--388f3a5c-2cdd-466c-9159-b507fa429fcd,pre-attack,['T1365'],Hardware or software supply chain implant,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   during production and distribution  the placement of software  firmware  or a cpu chip in a computer  handheld  or other electronic device that enables an adversary to gain illegal entrance 
attack-pattern--38a6d2f5-d948-4235-bb91-bb01604448b4,pre-attack,['T1374'],Credential pharming,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    credential pharming a  form of attack designed to steal users' credential by redirecting users to fraudulent websites  pharming can be conducted either by changing the hosts file on a victim's computer or by exploitation of a vulnerability in dns server software    citation  googledrive phishing 
attack-pattern--3d1488a6-59e6-455a-8b80-78b53edc33fe,pre-attack,['T1396'],Obtain booter/stressor subscription,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   configure and setup booter stressor services  often intended for server stress testing  to enable denial of service attacks 
attack-pattern--3f157dee-74f0-41fc-801e-f837b8985b0a,pre-attack,['T1340'],Shadow DNS,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   the process of gathering domain account credentials in order to silently create subdomains pointed at malicious servers without tipping off the actual owner 
attack-pattern--41086474-e6de-4fac-bb69-640db7fdf3d2,pre-attack,['T1395'],Runtime code download and execution,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    many mobile devices are configured to only allow applications to be installed from the mainstream vendor app stores  e_g_  apple app store and google play store    these app stores scan submitted applications for malicious behavior   however  applications can evade these scans by downloading and executing new code at runtime that was not included in the original application package   citation  fruit vs zombies   citation  android hax   citation  execute this    citation  ht fake news app   citation  anywhere computing kill  fa   citation  android security review      
attack-pattern--45242287-2964-4a3e-9373-159fad4d8195,pre-attack,['T1328'],Buy domain name,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   domain names are the human readable names used to represent one or more ip addresses  they can be purchased or  in some cases  acquired for free 
attack-pattern--46017368-6e09-412b-a29c-385be201cc03,pre-attack,['T1251'],Obtain domain/IP registration information,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   for a computing resource to be accessible to the public  domain names and ip addresses must be registered with an authorized organization   citation  google domains whois 
attack-pattern--4886e3c2-468b-4e26-b7e5-2031d995d13a,pre-attack,['T1349'],Build or acquire exploits,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an exploit takes advantage of a bug or vulnerability in order to cause unintended or unanticipated behavior to occur on computer hardware or software  the adversary may use or modify existing exploits when those exploits are still relevant to the environment they are trying to compromise 
attack-pattern--488da8ed-2887-4ef6-a39a-5b69bc6682c6,pre-attack,['T1330'],Acquire and/or use 3rd party software services,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   a wide variety of  rd party software services  are available  e_g_     use of these solutions allow an adversary to stage  launch  and execute an attack from infrastructure that does not physically tie back to them and can be rapidly provisioned  modified  and shut down 
attack-pattern--489a7797-01c3-4706-8cd1-ec56a9db3adc,pre-attack,['T1369'],Spear phishing messages with malicious links,  this technique has been deprecated  please use  spearphishing   emails with malicious links are designed to get a user to click on the link in order to deliver malware payloads   citation  googledrive phishing 
attack-pattern--4900fabf-1142-4c1f-92f5-0b590e049077,pre-attack,['T1312'],Compromise 3rd party infrastructure to support delivery,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   instead of buying  leasing  or renting infrastructure an adversary may compromise infrastructure and use it for some or all of the attack cycle    citation  fireeye operation snowman 
attack-pattern--4aeafdb3-eb0b-4e8e-b93f-95cd499088b4,pre-attack,['T1388'],Compromise of externally facing system,  this technique has been deprecated  please use  exploit public facing  and  external remote  where appropriate_    externally facing systems allow connections from outside the network as a normal course of operations   externally facing systems may include  but are not limited to  websites  web portals  email  dns  ftp  vpn concentrators  and boarder routers and firewalls  these systems could be in a demilitarized zone  dmz  or may be within other parts of the internal environment 
attack-pattern--4dfb98ea-03cc-4a9c-a3a7-b22e14f126c4,pre-attack,['T1381'],Authentication attempt,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    attempt to use default vendor credentials  brute force credentials  or previously obtained legitimate credentials to authenticate remotely  this access could be to a web portal  through a vpn  or in a phone app   citation  remote access healthcare   citation  rdp point of sale 
attack-pattern--4fad17d3-8f42-449d-ac4b-dbb4c486127d,pre-attack,['T1238'],"Assign KITs, KIQs, and/or intelligence requirements",this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   once generated  key intelligence topics  kits   key intelligence questions  kiqs   and or intelligence requirements are assigned to applicable agencies and or personnel  for example  an adversary may decide nuclear energy requirements should be assigned to a specific organization based on their mission 
attack-pattern--51bca707-a806-49bf-91e0-03885b0ac85c,pre-attack,['T1226'],Conduct cost/benefit analysis,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   leadership conducts a cost benefit analysis that generates a compelling need for information gathering which triggers a key intelligence toptic  kit  or key intelligence question  kiq   for example  an adversary compares the cost of cyber intrusions with the expected benefits from increased intelligence collection on cyber adversaries 
attack-pattern--5436571f-2332-4b51-b7ed-0bc822fe02c2,pre-attack,['T1390'],OS-vendor provided communication channels,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   google and apple provide google cloud messaging and apple push notification service  respectively  services designed to enable efficient communication between third party mobile app backend servers and the mobile apps running on individual devices  these services maintain an encrypted connection between every mobile device and google or apple that cannot easily be inspected and must be allowed to traverse networks as part of normal device operation  these services could be used by adversaries for communication to compromised mobile devices   citation  securelist mobile malware      
attack-pattern--54a42187-a20c-4e4e-ba31-8d15c9e1f57f,pre-attack,['T1338'],SSL certificate acquisition for trust breaking,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   fake certificates can be acquired by legal process or coercion  or  an adversary can trick a certificate authority into issuing a certificate  these fake certificates can be used as a part of man in the middle attacks 
attack-pattern--54eb2bab-125f-4d1c-b999-0c692860bafe,pre-attack,['T1333'],Dynamic DNS,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   dynamic dns is a automated method to rapidly update the domain name system mapping of hostnames to ips 
attack-pattern--57061a8a-d7c5-42a9-be60-f79526b95bf6,pre-attack,['T1292'],Test signature detection,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an adversary can test the detections of malicious emails or files by using  publicly available services  such as virus total  to see if their files or emails cause an alert  they can also use similar services that are not openly available and don't publicly publish results or they can test on their own internal infrastructure 
attack-pattern--57619ab3-f6a5-43c8-8dd1-b0b8a986a870,pre-attack,['T1301'],Analyze business processes,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   business processes  such as who typically communicates with who  or what the supply chain is for a particular part  provide opportunities for social engineering or other
attack-pattern--58d0b955-ae3d-424a-a537-2804dab38793,pre-attack,['T1372'],Unconditional client-side exploitation/Injected Website/Driveby,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    a technique used to compromise victims wherein the victims visit a compromised website that redirects their browser to a malicious web site  such as an exploit kit's landing page   the exploit kit landing page will probe the victim's operating system  web browser  or other software to find an exploitable vulnerability to infect the victim 
attack-pattern--59369f72-3005-4e54-9095-3d00efcece73,pre-attack,['T1265'],Identify supply chains,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   supply chains include the people  processes  and technologies used to move a product or service from a supplier to a consumer  understanding supply chains may provide an adversary with opportunities to exploit the people  their positions  and relationships  that are part of the supply chain 
attack-pattern--5a68c603-d7f9-4535-927e-ab56819eaa85,pre-attack,['T1354'],Compromise 3rd party or closed-source vulnerability/exploit information,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   there is usually a delay between when a vulnerability or exploit is discovered and when it is made public  an adversary may target the systems of those known to research vulnerabilities in order to gain that knowledge for use during a different attack 
attack-pattern--5b6ce031-bb86-407a-9984-2b9700ac4549,pre-attack,['T1272'],Identify business relationships,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   business relationship information includes the associates of a target and may be discovered via social media sites such as  or public press releases announcing new partnerships between organizations or people  such as key hire announcements in industry articles    this information may be used by an adversary to shape social engineering attempts  exploiting who a target expects to hear from  or to plan for technical actions such as exploiting network trust relationship 
attack-pattern--6063b486-a247-499b-976a-9de16f4e83bc,pre-attack,['T1227'],Develop KITs/KIQs,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   leadership derives key intelligence topics  kits  and key intelligence questions  kiqs  from the areas of most interest to them   kits are an expression of management's intelligence needs with respect to early warning  strategic and operational decisions  knowing the competition  and understanding the competitive situation  kiqs are the critical questions aligned by kit which provide the basis for collection plans  create a context for analytic work  and or identify necessary external operations 
attack-pattern--616238cb-990b-4c71-8f50-d8b10ed8ce6b,pre-attack,['T1327'],Use multiple DNS infrastructures,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   a technique used by the adversary similar to dynamic dns with the exception that the use of multiple dns infrastructures likely have whois records 
attack-pattern--68b45999-bb0c-4829-bbd0-75d6dac57c94,pre-attack,['T1281'],Obtain templates/branding materials,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   templates and branding materials may be used by an adversary to add authenticity to social engineering message 
attack-pattern--695b1cce-57d7-49ae-a2af-820d50153f12,pre-attack,['T1273'],Mine social media,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an adversary may research available open source information about a target commonly found on social media sites such as   or   social media is public by design and provides insight into the interests and potentially inherent weaknesses of a target for exploitation by the adversary 
attack-pattern--6baf6388-d49f-4804-86a4-5837240555cd,pre-attack,['T1258'],Determine firmware version,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   firmware is permanent software programmed into the read only memory of a device  as with other types of software  firmware may be updated over time and have multiple versions   citation  abdelnur advanced fingerprinting 
attack-pattern--6c79d654-6506-4f33-b48f-c80babdcc52d,pre-attack,['T1286'],Dumpster dive,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   dumpster diving is looking through waste for information on technology  people  and or organizational items of interest 
attack-pattern--6f088e84-37b2-44de-8df3-393908f2d77b,pre-attack,['T1314'],Host-based hiding techniques,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   host based hiding techniques are designed to allow an adversary to remain undetected on a machine upon which they have taken action  they may do this through the use of  static linking of binaries  polymorphic code  exploiting weakness in file formats  parsers  or self deleting code 
attack-pattern--702dc95d-3266-42dc-9eef-4a19e2445148,pre-attack,['T1373'],Push-notification client-side exploit,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    a technique to push an  or  mms type message to the target which does not require interaction on the part of the target to be successful   citation  blackhat stagefright 
attack-pattern--72923cae-6c8c-4da2-8f48-b73389529c25,pre-attack,['T1371'],Targeted client-side exploitation,  this technique has been deprecated  please see att ck's initial access and execution tactics for replacement techniques_    a technique used to compromise a specific group of end users by taking advantage of flaws in client side applications  for example  infecting websites that members of a targeted group are known to visit with the goal to infect a targeted user's computer 
attack-pattern--72c8d526-1247-42d4-919c-6d7a31ca8f39,pre-attack,['T1331'],Obfuscate infrastructure,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   obfuscation is hiding the day to day building and testing of new tools  chat servers  etc 
attack-pattern--73e394e5-3d8a-40d1-ab8c-a1b4ea9db424,pre-attack,['T1336'],"Install and configure hardware, network, and systems",this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   an adversary needs the necessary skills to set up procured equipment and software to create their desired infrastructure 
attack-pattern--73e7d7d5-1782-4cd0-a4d7-00c7ec051c2a,pre-attack,['T1283'],Identify business relationships,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   business relationship information may be used by an adversary to shape social engineering attempts  exploiting who a target expects to hear from  or to plan for technical actions such as exploiting network trust relationship 
attack-pattern--74a3288e-eee9-4f8e-973a-fbc128e033f1,pre-attack,['T1249'],Conduct social engineering,this object is deprecated as its content has been merged into the enterprise domain  please see the  matrix for its replacement  the prior content of this page has been preserved   social engineering is the practice of manipulating people in order to get them to divulge information or take an action 
