id,mitigation_id,mitigation_name,mitigation_description,attack_id,attack_type,relationship
course-of-action--af093bc8-7b59-4e2a-9da8-8e839b4c50c6,T1219,Remote Access Tools Mitigation,"Properly configure firewalls, application firewalls, and proxies to limit outgoing traffic to sites and services used by remote access tools.

Network intrusion detection and prevention systems that use network signatures may be able to prevent traffic to these services as well.

Use application whitelisting to mitigate use of and installation of unapproved software.",T1219,['enterprise-attack'],
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.013,['enterprise-attack'],Use application control configured to block execution of mavinject.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.005,['enterprise-attack'],"Use application control configured to block execution of <code>mshta.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>mshta.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1564.003,['enterprise-attack'],"Limit or restrict program execution using anti-virus software. On MacOS, allowlist programs that are allowed to have the plist tag. All other programs should be considered suspicious."
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.002,['enterprise-attack'],Use application control where appropriate.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.004,['enterprise-attack'],Use application control where appropriate.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1546.006,['enterprise-attack'],Allow applications via known hashes.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574.001,['enterprise-attack'],Adversaries may use new DLLs to execute this technique. Identify and block potentially malicious software executed through search order hijacking by using application control solutions capable of blocking DLLs loaded by legitimate software.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1505.004,['enterprise-attack'],Restrict unallowed ISAPI extensions and filters from running by specifying a list of ISAPI extensions and filters that can run on IIS.(Citation: Microsoft ISAPICGIRestriction 2016)
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574.006,['enterprise-attack'],Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574.012,['enterprise-attack'],Identify and block potentially malicious unmanaged COR_PROFILER profiling DLLs  by using application control solutions like AppLocker that are capable of auditing and/or blocking unapproved DLLs.(Citation: Beechey 2010)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1553.003,['enterprise-attack'],Enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious SIP DLLs.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1127.001,['enterprise-attack'],"Use application control configured to block execution of <code>msbuild.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>msbuild.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1546.008,['enterprise-attack'],"Adversaries can replace accessibility features binaries with alternate binaries to execute this technique. Identify and block potentially malicious software executed through accessibility features functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1204,['enterprise-attack'],Application control may be able to prevent the running of executables masquerading as other files.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1219,['enterprise-attack'],Use application control to mitigate installation and use of unapproved software that can be used for remote access.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1106,['enterprise-attack'],"Identify and block potentially malicious software executed that may be executed through this technique by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.009,['enterprise-attack'],Block execution of Regsvcs.exe and Regasm.exe if they are not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1036.005,['enterprise-attack'],Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1047,['enterprise-attack'],"Use application control configured to block execution of <code>wmic.exe</code> if it is not required for a given system or network to prevent potential misuse by adversaries. For example, in Windows 10 and Windows Server 2016 and above, Windows Defender Application Control (WDAC) policy rules may be applied to block the <code>wmic.exe</code> application and to prevent abuse.(Citation: Microsoft WDAC)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1562.001,['enterprise-attack'],"Use application control where appropriate, especially regarding the execution of tools outside of the organization's security policies (such as rootkit removal tools) that have been abused to impair system defenses. Ensure that only approved security applications are used and running on enterprise systems."
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.007,['enterprise-attack'],Denylist scripting where appropriate.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1609,['enterprise-attack'],"Use read-only containers, read-only file systems, and minimal images when possible to prevent the execution of commands.(Citation: Kubernetes Hardening Guide)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.002,['enterprise-attack'],"Identify and block potentially malicious and unknown .cpl files by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059,['enterprise-attack'],Use application control where appropriate.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1080,['enterprise-attack'],"Identify potentially malicious software that may be used to taint content or may result from it and audit and/or block the unknown programs by using application control (Citation: Beechey 2010) tools, like AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.008,['enterprise-attack'],Use application control configured to block execution of Odbcconf.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1216,['enterprise-attack'],Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.005,['enterprise-attack'],"Use application control where appropriate. VBA macros obtained from the Internet, based on the file's Mark of the Web (MOTW) attribute, may be blocked from executing in Office applications (ex: Access, Excel, PowerPoint, Visio, and Word) by default starting in Windows Version 2203.(Citation: Default VBS macros Blocking )"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1068,['enterprise-attack'],Consider blocking the execution of known vulnerable drivers that adversaries may exploit to execute code in kernel mode. Validate driver block rules in audit mode to ensure stability prior to production deployment.(Citation: Microsoft Driver Block Rules)
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1611,['enterprise-attack'],"Use read-only containers, read-only file systems, and minimal images when possible to prevent the running of commands.(Citation: Kubernetes Hardening Guide)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1548,['enterprise-attack'],System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1127,['enterprise-attack'],Certain developer utilities should be blocked or restricted if not required.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1553,['enterprise-attack'],System settings can prevent applications from running that haven't been downloaded through the Apple Store (or other legitimate repositories) which can help mitigate some of these issues. Also enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious content.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1216.001,['enterprise-attack'],Certain signed scripts that can be used to execute other programs may not be necessary within a given environment. Use application control configured to block execution of these scripts if they are not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.003,['enterprise-attack'],Use application control where appropriate.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1547.006,['enterprise-attack'],"Application control and software restriction tools, such as SELinux, KSPP, grsecurity MODHARDEN, and Linux kernel tuning can aid in restricting kernel module loading.(Citation: Kernel.org Restrict Kernel Module)(Citation: Wikibooks Grsecurity)(Citation: Kernel Self Protection Project)(Citation: Increasing Linux kernel integrity)(Citation: LKM loading kernel restrictions)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1553.001,['enterprise-attack'],System settings can prevent applications from running that haven't been downloaded through the Apple Store which can help mitigate some of these issues. 
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1176,['enterprise-attack'],Set a browser extension allow or deny list as appropriate for your security policy. (Citation: Technospot Chrome Extensions GP)
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1546.002,['enterprise-attack'],Block .scr files from being executed from non-standard locations.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1562,['enterprise-attack'],"Use application control where appropriate, especially regarding the execution of tools outside of the organization's security policies (such as rootkit removal tools) that have been abused to impair system defenses. Ensure that only approved security applications are used and running on enterprise systems."
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1129,['enterprise-attack'],Identify and block potentially malicious software executed through this technique by using application control tools capable of preventing unknown DLLs from being loaded.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1547.004,['enterprise-attack'],Identify and block potentially malicious software that may be executed through the Winlogon helper process by using application control (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are capable of auditing and/or blocking unknown DLLs.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.001,['enterprise-attack'],Consider using application control to prevent execution of hh.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1034,['enterprise-attack'],"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.001,['enterprise-attack'],Use application control where appropriate.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.003,['enterprise-attack'],Consider using application control configured to block execution of CMSTP.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1036,['enterprise-attack'],Use tools that restrict program execution via application control by attributes other than file name for common operating system utilities that are needed.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218,['enterprise-attack'],Consider using application control to prevent execution of binaries that are susceptible to abuse and not required for a given system or network.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1564.006,['enterprise-attack'],Use application control to mitigate installation and use of unapproved virtualization software.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.012,['enterprise-attack'],Use application control configured to block execution of verclsid.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1546.009,['enterprise-attack'],"Adversaries install new AppCertDLL binaries to execute this technique. Identify and block potentially malicious software executed through AppCertDLLs functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1220,['enterprise-attack'],"If msxsl.exe is unnecessary, then block its execution to prevent abuse by adversaries."
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1204.002,['enterprise-attack'],Application control may be able to prevent the running of executables masquerading as other files.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574.009,['enterprise-attack'],"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.(Citation: SANS Application Whitelisting)(Citation: Microsoft Windows Defender Application Control)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)(Citation: Microsoft Application Lockdown)(Citation: Microsoft Using Software Restriction )"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.004,['enterprise-attack'],Use application control configured to block execution of InstallUtil.exe if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1218.014,['enterprise-attack'],Use application control configured to block execution of MMC if it is not required for a given system or network to prevent potential misuse by adversaries.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574,['enterprise-attack'],Adversaries may use new payloads to execute this technique. Identify and block potentially malicious software executed through hijacking by using application control solutions also capable of blocking libraries loaded by legitimate software.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1553.005,['enterprise-attack'],Consider blocking container file types at web and/or email gateways. Consider unregistering container file extensions in Windows File Explorer.(Citation: Dormann Dangers of VHD 2019)
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.008,['enterprise-attack'],TACACS+ can keep control over which commands administrators are permitted to use through the configuration of authentication and command authorization. (Citation: Cisco IOS Software Integrity Assurance - TACACS)
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1059.006,['enterprise-attack'],Denylist Python where not required.
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574.007,['enterprise-attack'],"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.(Citation: SANS Application Whitelisting)(Citation: Microsoft Windows Defender Application Control)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)(Citation: Microsoft Application Lockdown)(Citation: Microsoft Using Software Restriction )"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1574.008,['enterprise-attack'],"Adversaries will likely need to place new binaries in locations to be executed through this weakness. Identify and block potentially malicious software executed path interception by using application control tools, like Windows Defender Application Control, AppLocker, or Software Restriction Policies where appropriate.(Citation: SANS Application Whitelisting)(Citation: Microsoft Windows Defender Application Control)(Citation: Windows Commands JPCERT)(Citation: NSA MS AppLocker)(Citation: Microsoft Application Lockdown)(Citation: Microsoft Using Software Restriction )"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1546.010,['enterprise-attack'],"Adversaries can install new AppInit DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit DLLs functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Application Control(Citation: Microsoft Windows Defender Application Control), AppLocker, (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) or Software Restriction Policies (Citation: Corio 2008) where appropriate. (Citation: TechNet Applocker vs SRP)"
course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,M1038,Execution Prevention,"Block execution of code on a system through application control, and/or script blocking.",T1548.004,['enterprise-attack'],System settings can prevent applications from running that haven't been downloaded through the Apple Store which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,T1137.001,['enterprise-attack'],"Follow Office macro security best practices suitable for your environment. Disable Office VBA macros from executing.

Disable Office add-ins. If they are required, follow best practices for securing them by requiring them to be signed and disabling user notification for allowing add-ins. For some add-ins types (WLL, VBA) additional mitigation is likely required as disabling add-ins in the Office Trust Center does not disable WLL nor does it prevent VBA code from executing. (Citation: MRWLabs Office Persistence Add-ins)
"
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,T1091,['enterprise-attack'],Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if it is not required for business operations. (Citation: TechNet Removable Media Control)
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,T1052.001,['enterprise-attack'],Disable Autorun if it is unnecessary. (Citation: Microsoft Disable Autorun) Disallow or restrict removable media at an organizational policy level if they are not required for business operations. (Citation: TechNet Removable Media Control)
course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,M1042,Disable or Remove Feature or Program,Remove or deny access to unnecessary and potentially vulnerable software to prevent abuse by adversaries.,T1553.005,['enterprise-attack'],"Consider disabling auto-mounting of disk image files (i.e., .iso, .img, .vhd, and .vhdx). This can be achieved by modifying the Registry values related to the Windows Explorer file associations in order to disable the automatic Explorer ""Mount and Burn"" dialog for these file extensions. Note: this will not deactivate the mount functionality itself.(Citation: GitHub MOTW)"
