id,type,attack_id,attack_name,attack_description
attack-pattern--03259939-0b57-482f-8eb5-87c0e0d54334,['enterprise-attack'],['T1037'],Boot or Logon Initialization Scripts,adversaries may use scripts automatically executed at boot or logon initialization to establish persistence  initialization scripts can be used to perform administrative functions  which may often execute other programs or send information to an internal logging server  these scripts can vary based on operating system and whether applied locally or remotely     adversaries may use these scripts to maintain persistence on a single system  depending on the access configuration of the logon scripts  either local credentials or an administrator account may be necessary    an adversary may also be able to escalate their privileges since some boot or logon initialization scripts run with higher privileges 
attack-pattern--035bb001-ab69-4a0b-9f6c-2de8b09e1b9d,['enterprise-attack'],['T1557'],Adversary-in-the-Middle,adversaries may attempt to position themselves between two or more networked devices using an adversary in the middle  aitm  technique to support follow on behaviors such as  network  or  transmitted data  by abusing features of common networking protocols that can determine the flow of network traffic  e_g  arp  dns  llmnr  etc_   adversaries may force a device to communicate through an adversary controlled system so they can collect information or perform additional actions_ citation  rapid  mitm basics   for example  adversaries may manipulate victim dns settings to enable other malicious activities such as preventing redirecting users from accessing legitimate sites and or pushing additional malware  adversaries may also manipulate dns and leverage their position in order to intercept user credentials and session cookies   downgrade  can also be used to establish an aitm position  such as by negotiating a less secure  deprecated  or weaker version of communication protocol  ssl tls  or encryption algorithm_  adversaries may also leverage the aitm position to attempt to monitor and or modify traffic  such as in  transmitted data  adversaries can setup a position similar to aitm to prevent traffic from flowing to the appropriate destination  potentially to  impair  and or in support of a  network denial of
attack-pattern--03d7999c-1f4c-42cc-8373-e7690d318104,['enterprise-attack'],['T1033'],System Owner/User Discovery,adversaries may attempt to identify the primary user  currently logged in user  set of users that commonly uses a system  or whether a user is actively using the system  they may do this  for example  by retrieving account usernames or by using  os credential  the information may be collected in a number of different ways using other discovery techniques  because user and username details are prevalent throughout a system and include running process ownership  file directory ownership  session information  and system logs  adversaries may use the information from  system owner user  during automated discovery to shape follow on behaviors  including whether or not the adversary fully infects the target and or attempts specific actions_  various utilities and commands may acquire this information  including whoami  in macos and linux  the currently logged in user can be identified with w and who  on macos the dscl   list  users   grep  v '_' command can also be used to enumerate user accounts  environment variables  such as  username  and  user  may also be used to access this information 
attack-pattern--0458aab9-ad42-4eac-9e22-706a95bafee2,['enterprise-attack'],['T1583'],Acquire Infrastructure,adversaries may buy  lease  or rent infrastructure that can be used during targeting  a wide variety of infrastructure exists for hosting and orchestrating adversary operations  infrastructure solutions include physical or cloud servers  domains  and third party web services  additionally  botnets are available for rent or purchase_  use of these infrastructure solutions allows an adversary to stage  launch  and execute an operation  solutions may help adversary operations blend in with traffic that is seen as normal  such as contact to third party web services  depending on the implementation  adversaries may use infrastructure that makes it difficult to physically tie back to them as well as utilize infrastructure that can be rapidly provisioned  modified  and shut down 
attack-pattern--045d0922-2310-4e60-b5e4-3302302cb3c5,['enterprise-attack'],['T1218.011'],Rundll32,adversaries may abuse rundll  _exe to proxy execution of malicious code  using rundll  _exe  vice executing directly  i_e   shared  may avoid triggering security tools that may not monitor execution of the rundll  _exe process because of allowlists or false positives from normal operations  rundll  _exe is commonly associated with executing dll payloads  ex  rundll  _exe  dllname  dllfunction  _  rundll  _exe can also be used to execute  control  item files  _cpl  through the undocumented shell  _dll functions control_rundll and control_rundllasuser  double clicking a _cpl file also causes rundll  _exe to execute   citation  trend micro cpl   rundll   can also be used to execute scripts such as javascript  this can be done using a syntax similar to this  rundll  _exe javascript   __ mshtml runhtmlapplication   document_write   getobject  script https     www _ example _ com malicious_sct     this behavior has been seen used by malware such as poweliks   citation  this is security command line confusion   adversaries may also attempt to obscure malicious code from analysis by abusing the manner in which rundll  _exe loads dll function names  as part of windows compatibility support for various character sets  rundll  _exe will first check for wide unicode then ansi character supported functions before loading the specified function  e_g_  given the command rundll  _exe exampledll_dll  examplefunction  rundll  _exe would first attempt to execute examplefunctionw  or failing that examplefunctiona  before loading examplefunction   adversaries may therefore obscure malicious code by creating multiple identical exported function names and appending w and or a to harmless ones_ citation  attackify rundll  _exe obscurity  citation  github norundll  dll functions can also be exported and executed by an ordinal number  ex  rundll  _exe file_dll    _  additionally  adversaries may use  techniques  such as changing dll file names  file extensions  or function names  to further conceal execution of a malicious payload_ citation  rundll  _exe defense evasion 
attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336,['enterprise-attack'],['T1613'],Container and Resource Discovery,adversaries may attempt to discover containers and other resources that are available within a containers environment  other resources may include images  deployments  pods  nodes  and other information such as the status of a cluster_  these resources can be viewed within web applications such as the kubernetes dashboard or can be queried via the docker and kubernetes apis_ citation  docker api  citation  kubernetes api  in docker  logs may leak information about the environment  such as the environment s configuration  which services are available  and what cloud provider the victim may be utilizing  the discovery of these resources may inform an adversary s next steps in the environment  such as how to perform lateral movement and which methods to utilize for execution 
attack-pattern--04a5a8ab-3bc8-4c83-95c9-55274a89786d,['enterprise-attack'],['T1583.007'],Serverless,adversaries may purchase and configure serverless cloud infrastructure  such as cloudflare workers or aws lambda functions  that can be used during targeting  by utilizing serverless infrastructure  adversaries can make it more difficult to attribute infrastructure used during operations back to them_  once acquired  the serverless runtime environment can be leveraged to either respond directly to infected machines or to  traffic to an adversary owned command and control server_ citation  blackwater malware cloudflare workers  citation  aws lambda redirector  as traffic generated by these functions will appear to come from subdomains of common cloud providers  it may be difficult to distinguish from ordinary traffic to these providers_ citation  detecting command   control in the cloud  citation  blackwater malware cloudflare workers 
attack-pattern--04ee0cb7-dac3-4c6c-9387-4c6aa096f4cf,['enterprise-attack'],['T1143'],Hidden Window,adversaries may implement hidden windows to conceal malicious activity from the plain sight of users  in some cases  windows that would typically be displayed when an application carries out an operation can be hidden  this may be utilized by system administrators to avoid disrupting user work environments when carrying out administrative tasks  adversaries may abuse operating system functionality to hide otherwise visible windows from users so as not to alert the user to adversary activity on the system_      windows there are a variety of features in scripting languages in windows  such as  jscript  and vbscript to make windows hidden  one example of this is powershell_exe  windowstyle hidden    citation  powershell about            mac the configurations for how applications run on macos are listed in property list  plist  files  one of the tags in these files can be apple_awt_uielement  which allows for java applications to prevent the application's icon from appearing in the dock  a common use for this is when applications run in the system tray  but don't also want to show up in the dock  however  adversaries can abuse this feature and hide their running window_ citation  antiquated mac malware 
attack-pattern--04ef4356-8926-45e2-9441-634b6f3dcecb,['enterprise-attack'],['T1161'],LC_LOAD_DYLIB Addition,mach o binaries have a series of headers that are used to perform certain operations when a binary is loaded  the lc_load_dylib header in a mach o binary tells macos and os x which dynamic libraries  dylibs  to load during execution time  these can be added ad hoc to the compiled binary as long adjustments are made to the rest of the fields and dependencies  citation  writing bad malware for osx   there are tools available to perform these changes  any changes will invalidate digital signatures on binaries because the binary is being modified  adversaries can remediate this issue by simply removing the lc_code_signature command from the binary so that the signature isn t checked at load time  citation  malware persistence on os x  
attack-pattern--04fd5427-79c7-44ea-ae13-11b24778ff1c,['enterprise-attack'],['T1132.001'],Standard Encoding,adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect  command and control  c   information can be encoded using a standard data encoding system that adheres to existing protocol specifications  common data encoding schemes include ascii  unicode  hexadecimal  base    and mime_ citation  wikipedia binary to text encoding   citation  wikipedia character encoding  some data encoding systems may also result in data compression  such as gzip 
attack-pattern--0533ab23-3f7d-463f-9bd8-634d27e4dee1,['enterprise-attack'],['T1027.009'],Embedded Payloads,adversaries may embed payloads within other files to conceal malicious content from defenses  otherwise seemingly benign files  such as scripts and executables  may be abused to carry and obfuscate malicious payloads and content  in some cases  embedded payloads may also enable adversaries to  subvert trust  by not impacting execution controls such as digital signatures and notarization tickets_ citation  sentinel labs    adversaries may embed payloads in various file formats to hide payloads_ citation  microsoft learn  this is similar to  though does not involve weaving malicious content into specific bytes and patterns related to legitimate digital media formats_ citation  github psimage    for example  adversaries have been observed embedding payloads within or as an overlay of an otherwise benign binary_ citation  securelist dtrack   adversaries have also been observed nesting payloads  such as executables and run only scripts  inside a file of the same format_ citation  sentinellabs reversing run only applescripts         embedded content may also be used as  process  payloads used to infect benign system processes_ citation  trend micro  these embedded then injected payloads may be used as part of the modules of malware designed to provide specific features such as encrypting c  communications in support of an orchestrator module  for example  an embedded module may be injected into default browsers  allowing adversaries to then communicate via the network_ citation  malware analysis report comrat 
attack-pattern--06780952-177c-4247-b978-79c357fb311f,['enterprise-attack'],['T1150'],Plist Modification,property list  plist  files contain all of the information that macos and os x uses to configure applications and services  these files are utf   encoded and formatted like xml documents via a series of keys surrounded by   they detail when programs should execute  file paths to the executables  program arguments  required os permissions  and many others  plists are located in certain locations depending on their purpose such as  library preferences  which execute with elevated privileges  and   library preferences  which execute with a user's privileges    adversaries can modify these plist files to point to their own code  can use them to execute their code in the context of another user  bypass whitelisting procedures  or even use them as a persistence mechanism   citation  sofacy komplex trojan 
attack-pattern--06c00069-771a-4d57-8ef5-d3718c1a8771,['enterprise-attack'],['T1556.003'],Pluggable Authentication Modules,adversaries may modify pluggable authentication modules  pam  to access user credentials or enable otherwise unwarranted access to accounts  pam is a modular system of configuration files  libraries  and executable files which guide authentication for many services  the most common authentication module is pam_unix_so  which retrieves  sets  and verifies account authentication information in  etc passwd and  etc shadow_ citation  apple pam  citation  man pam_unix  citation  red hat pam   adversaries may modify components of the pam system to create backdoors  pam components  such as pam_unix_so  can be patched to accept arbitrary adversary supplied values as legitimate credentials_ citation  pam backdoor   malicious modifications to the pam system may also be abused to steal credentials  adversaries may infect pam resources with code to harvest user credentials  since the values exchanged with pam components may be plain text since pam does not store passwords_ citation  pam creds  citation  apple pam 
attack-pattern--0708ae90-d0eb-4938-9a76-d0fc94f6eec1,['enterprise-attack'],['T1578.004'],Revert Cloud Instance,an adversary may revert changes made to a cloud instance after they have performed malicious activities in attempt to evade detection and remove evidence of their presence  in highly virtualized environments  such as cloud based infrastructure  this may be accomplished by restoring virtual machine  vm  or data storage snapshots through the cloud management dashboard or cloud apis_  another variation of this technique is to utilize temporary storage attached to the compute instance  most cloud providers provide various types of storage including persistent  local  and or ephemeral  with the ephemeral types often reset upon stop restart of the vm_ citation  tech republic   restore aws snapshots  citation  google   restore cloud snapshot 
attack-pattern--086952c4-5b90-4185-b573-02bad8e11953,['enterprise-attack'],['T1148'],HISTCONTROL,the histcontrol environment variable keeps track of what should be saved by the history command and eventually into the   _bash_history file when a user logs out  this setting can be configured to ignore commands that start with a space by simply setting it to  ignorespace   histcontrol can also be set to ignore duplicate commands by setting it to  ignoredups   in some linux systems  this is set by default to  ignoreboth  which covers both of the previous examples  this means that   ls  will not be saved  but  ls  would be saved by history  histcontrol does not exist by default on macos  but can be set by the user and will be respected  adversaries can use this to operate without leaving traces by simply prepending a space to all of their terminal commands 
attack-pattern--09312b1a-c3c6-4b45-9844-3ccc78e5d82f,['enterprise-attack'],['T1592'],Gather Victim Host Information,adversaries may gather information about the victim's hosts that can be used during targeting  information about hosts may include a variety of details  including administrative data  ex  name  assigned ip  functionality  etc_  as well as specifics regarding its configuration  ex  operating system  language  etc_ _  adversaries may gather this information in various ways  such as direct collection actions via  active  or  phishing for  adversaries may also compromise sites then include malicious content designed to collect host information from visitors_ citation  att scanbox  information about hosts may also be exposed to adversaries via online or other accessible data sets  ex   social  or  search victim owned  gathering this information may reveal opportunities for other forms of reconnaissance  ex   search open  or  search open technical  establishing operational resources  ex   develop  or  obtain  and or initial access  ex   supply chain  or  external remote
attack-pattern--0979abf9-4e26-43ec-9b6e-54efc4e70fca,['enterprise-attack'],['T1596.003'],Digital Certificates,adversaries may search public digital certificate data for information about victims that can be used during targeting  digital certificates are issued by a certificate authority  ca  in order to cryptographically verify the origin of signed content  these certificates  such as those used for encrypted web traffic  https ssl tls communications   contain information about the registered organization such as name and location_  adversaries may search digital certificate data to gather actionable information  threat actors can use online resources and lookup tools to harvest information about certificates_ citation  sslshopper lookup  digital certificate data may also be available from artifacts signed by the organization  ex  certificates used from encrypted web traffic are served with content _ citation  medium ssl cert  information from these sources may reveal opportunities for other forms of reconnaissance  ex   active  or  phishing for  establishing operational resources  ex   develop  or  obtain  and or initial access  ex   external remote  or  trusted
attack-pattern--09a60ea3-a8d1-4ae5-976e-5783248b72a4,['enterprise-attack'],['T1056.001'],Keylogging,adversaries may log user keystrokes to intercept credentials as the user types them  keylogging is likely to be used to acquire credentials for new access opportunities when  os credential  efforts are not effective  and may require an adversary to intercept keystrokes on a system for a substantial period of time before credentials can be successfully captured_  keylogging is the most prevalent type of input capture  with many different ways of intercepting keystrokes_ citation  adventures of a keystroke  some methods include     hooking api callbacks used for processing keystrokes  unlike  credential api  this focuses solely on api functions intended for processing keystroke data_   reading raw keystroke data from the hardware buffer_   windows registry modifications_   custom drivers_    modify system  may provide adversaries with hooks into the operating system of network devices to read raw keystrokes for login sessions_ citation  cisco blog legacy device attacks 
attack-pattern--09b130a2-a77e-4af0-a361-f46f9aad1345,['enterprise-attack'],['T1222.002'],Linux and Mac File and Directory Permissions Modification,adversaries may modify file or directory permissions attributes to evade access control lists  acls  and access protected files_ citation  hybrid analysis icacls  june       citation  hybrid analysis icacls  may       file and directory permissions are commonly managed by acls configured by the file or directory owner  or users with the appropriate permissions  file and directory acl implementations vary by platform  but generally explicitly designate which users or groups can perform which actions  read  write  execute  etc_ _  most linux and linux based platforms provide a standard set of permission groups  user  group  and other  and a standard set of permissions  read  write  and execute  that are applied to each group  while nuances of each platform s permissions implementation may vary  most of the platforms provide two primary commands used to manipulate file and directory acls  chown  short for change owner   and chmod  short for change mode _  adversarial may use these commands to make themselves the owner of files and directories or change the mode if current permissions allow it  they could subsequently lock others out of the file  specific file and directory modifications may be a required step for many techniques  such as establishing persistence via  unix shell configuration  or tainting hijacking other instrumental binary configuration files via  hijack execution     macos common tools and techniques 
attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,['enterprise-attack'],['T1110.001'],Password Guessing,adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts  without knowledge of the password for an account  an adversary may opt to systematically guess the password using a repetitive or iterative mechanism  an adversary may guess login credentials without prior knowledge of system or environment passwords during an operation by using a list of common passwords  password guessing may or may not take into account the target's policies on password complexity or use policies that may lock accounts out after a number of failed attempts_  guessing passwords can be a risky option because it could cause numerous authentication failures and account lockouts  depending on the organization's login failure policies   citation  cylance cleaver   typically  management services over commonly used ports are used when guessing passwords  commonly targeted services include the following     ssh     tcp    telnet     tcp    ftp     tcp    netbios   smb   samba      tcp       tcp    ldap      tcp    kerberos     tcp    rdp   terminal services       tcp    http http management services     tcp       tcp    mssql       tcp    oracle       tcp    mysql       tcp    vnc       tcp    snmp      udp and     tcp udp   in addition to management services  adversaries may  target single sign on  sso  and cloud based applications utilizing federated authentication protocols   as well as externally facing email applications  such as office    _ citation  us cert ta      a        further  adversaries may abuse network device interfaces  such as  wlanapi   to brute force accessible wifi router s  via wireless authentication protocols_ citation  trend micro emotet        in default environments  ldap and kerberos connection attempts are less likely to trigger events over smb  which creates windows  logon failure  event id      
attack-pattern--09cd431f-eaf4-4d2a-acaf-2a7acfe7ed58,['enterprise-attack'],['T1216.001'],PubPrn,adversaries may use pubprn to proxy execution of malicious remote files  pubprn_vbs is a  visual  script that publishes a printer to active directory domain services  the script may be signed by microsoft and is commonly executed through the  windows command  via cscript_exe  for example  the following code publishes a printer within the specified domain  cscript pubprn printer  ldap   cn container  dc domain  dc com_  adversaries may abuse pubprn to execute malicious payloads hosted on remote sites_ citation  enigma x  pubprn bypass  to do so  adversaries may set the second script  parameter to reference a scriptlet file  _sct  hosted on a remote site  an example command is pubprn_vbs    _ _ _   this behavior may bypass signature validation restrictions and application control solutions that do not account for abuse of this script_  in later versions of windows        pubprn_vbs has been updated to prevent proxying execution from a remote site  this is done by limiting the protocol specified in the second parameter to ldap     vice the script  moniker which could be used to reference remote code via http s  
attack-pattern--0a241b6c-7bb2-48f9-98f7-128145b4d27f,['enterprise-attack'],['T1597.002'],Purchase Technical Data,adversaries may purchase technical information about victims that can be used during targeting  information about victims may be available for purchase within reputable private sources and databases  such as paid subscriptions to feeds of scan databases or other data aggregation services  adversaries may also purchase information from less reputable sources such as dark web or cybercrime blackmarkets_  adversaries may purchase information about their already identified targets  or use purchased data to discover opportunities for successful breaches  threat actors may gather various technical details from purchased data  including but not limited to employee contact information  credentials  or specifics regarding a victim s infrastructure_ citation  zdnet selling data  information from these sources may reveal opportunities for other forms of reconnaissance  ex   phishing for  or  search open  establishing operational resources  ex   develop  or  obtain  and or initial access  ex   external remote  or  valid
attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,['enterprise-attack'],['T1003'],OS Credential Dumping,adversaries may attempt to dump credentials to obtain account login and credential material  normally in the form of a hash or a clear text password  from the operating system and software  credentials can then be used to perform  lateral  and access restricted information_  several of the tools mentioned in associated sub techniques may be used by both adversaries and professional security testers  additional custom tools likely exist as well_
attack-pattern--0a5231ec-41af-4a35-83d0-6bdf11f28c65,['enterprise-attack'],['T1129'],Shared Modules,adversaries may execute malicious payloads via loading shared modules  the windows module loader can be instructed to load dlls from arbitrary local paths and arbitrary universal naming convention  unc  network paths  this functionality resides in ntdll_dll and is part of the windows  native  which is called from functions like createprocess  loadlibrary  etc  of the win   api_ citation  wikipedia windows library files   the module loader can load dlls     via specification of the  fully qualified or relative  dll pathname in the import directory         via export forwarded to another dll  specified with  fully qualified or relative  pathname  but without extension          via an ntfs junction or symlink program_exe_local with the fully qualified or relative pathname of a directory containing the dlls specified in the import directory or forwarded exports         via   x c file name  filename_extension  loadfrom  fully qualified or relative pathname   x e  in an embedded or external  application manifest   the file name refers to an entry in the import directory or a forwarded export_  adversaries may use this functionality as a way to execute arbitrary payloads on a victim system  for example  malware may execute share modules to load additional components or features 
attack-pattern--0ad7bc5c-235a-4048-944b-3b286676cb74,['enterprise-attack'],['T1602'],Data from Configuration Repository,adversaries may collect data related to managed devices from configuration repositories  configuration repositories are used by management systems in order to configure  manage  and control data on remote systems  configuration repositories may also facilitate remote access and administration of devices_  adversaries may target these repositories in order to collect large quantities of sensitive system administration data  data from configuration repositories may be exposed by various protocols and software and can store a wide variety of data  much of which may align with adversary discovery objectives_ citation  us cert ta      a snmp abuse      
