id,type,attack_id,attack_name,attack_description
attack-pattern--2900bbd8-308a-4274-b074-5b8bde8347bc,['ics-attack'],['T0878'],Alarm Suppression,adversaries may target protection function alarms to prevent them from notifying operators of critical conditions  alarm messages may be a part of an overall reporting system and of particular interest for adversaries  disruption of the alarm system does not imply the disruption of the reporting system as a whole_  a secura presentation on targeting ot notes a dual fold goal for adversaries attempting alarm suppression  prevent outgoing alarms from being raised and prevent incoming alarms from being responded to   citation  jos wetzels  marina krotofil       the method of suppression may greatly depend on the type of alarm in question       an alarm raised by a protocol message    an alarm signaled with i o    an alarm bit set in a flag  and read    in ics environments  the adversary may have to suppress or contend with multiple alarms and or alarm propagation to achieve a specific goal to evade detection or prevent intended responses from occurring   citation  jos wetzels  marina krotofil        methods of suppression may involve tampering or altering device displays and logs  modifying in memory code to fixed values  or even tampering with assembly level instruction code_  in the maroochy shire attack  the adversary suppressed alarm reporting to the central computer_ citation  marshall abrams july      
attack-pattern--2aa406ed-81c3-4c1d-ba83-cfbee5a2847a,['ics-attack'],['T0868'],Detect Operating Mode,adversaries may gather information about a plcs or controllers current operating mode  operating modes dictate what change or maintenance functions can be manipulated and are often controlled by a key switch on the plc  e_g_   run  prog  program   and remote   knowledge of these states may be valuable to an adversary to determine if they are able to reprogram the plc  operating modes and the mechanisms by which they are selected often vary by vendor and product line  some commonly implemented operating modes are described below       program   this mode must be enabled before changes can be made to a devices program  this allows program uploads and downloads between the device and an engineering workstation  often the plcs logic is halted  and all outputs may be forced off   citation  n_a  october           run   execution of the devices program occurs in this mode  input and output  values  points  tags  elements  etc_  are monitored and used according to the programs logic   program  and  program  are disabled while in this mode    citation  machine information systems         citation  n_a  october        citation  plcgurus            remote   allows for remote changes to a plcs operation mode   citation  plcgurus             stop   the plc and program is stopped  while in this mode  outputs are forced off   citation  machine information systems            reset   conditions on the plc are reset to their original states  warm resets may retain some memory while cold resets will reset all i o and data registers   citation  machine information systems            test   monitor mode   similar to run mode  i o is processed  although this mode allows for monitoring  force set  resets  and more generally tuning or debugging of the system  often monitor mode may be used as a trial for initialization 
attack-pattern--2bb4d762-bf4a-4bc3-9318-15cc6a354163,['ics-attack'],['T0837'],Loss of Protection,adversaries may compromise protective system functions designed to prevent the effects of faults and abnormal conditions  this can result in equipment damage  prolonged process disruptions and hazards to personnel    many faults and abnormal conditions in process control happen too quickly for a human operator to react to  speed is critical in correcting these conditions to limit serious impacts such as loss of control and property damage    adversaries may target and disable protective system functions as a prerequisite to subsequent attack execution or to allow for future faults and abnormal conditions to go unchecked  detection of a loss of protection by operators can result in the shutdown of a process due to strict policies regarding protection systems  this can cause a loss of productivity and revenue and may meet the technical goals of adversaries seeking to cause process disruptions 
attack-pattern--2d0d40ad-22fa-4cc8-b264-072557e1364b,['ics-attack'],['T0801'],Monitor Process State,adversaries may gather information about the physical process state  this information may be used to gain more information about the process itself or used as a trigger for malicious actions  the sources of process state information may vary such as  opc tags  historian data  specific plc block information  or network traffic 
attack-pattern--2dc2b567-8821-49f9-9045-8740f3d0b958,['ics-attack'],['T0853'],Scripting,adversaries may use scripting languages to execute arbitrary code in the form of a pre written script or in the form of user supplied code to an interpreter  scripting languages are programming languages that differ from compiled languages  in that scripting languages use an interpreter  instead of a compiler  these interpreters read and compile part of the source code just before it is executed  as opposed to compilers  which compile each and every line of code to an executable file  scripting allows software developers to run their code on any system where the interpreter exists  this way  they can distribute one package  instead of precompiling executables for many different systems  scripting languages  such as python  have their interpreters shipped as a default with many linux distributions    in addition to being a useful tool for developers and administrators  scripting language interpreters may be abused by the adversary to execute code in the target environment  due to the nature of scripting languages  this allows for weaponized code to be deployed to a target easily  and leaves open the possibility of on the fly scripting to perform a task 
attack-pattern--2fedbe69-581f-447d-8a78-32ee7db939a9,['ics-attack'],['T0888'],Remote System Information Discovery,an adversary may attempt to get detailed information about remote systems and their peripherals  such as make model  role  and configuration  adversaries may use information from remote system information discovery to aid in targeting and shaping follow on behaviors  for example  the systems operational role and model information can dictate whether it is a relevant target for the adversary's operational objectives  in addition  the systems configuration may be used to scope subsequent technique usage    requests for system information are typically implemented using automation and management protocols and are often automatically requested by vendor software during normal operation  this information may be used to tailor management actions  such as program download and system or module firmware  an adversary may leverage this same information by issuing calls directly to the systems api 
attack-pattern--3067b85e-271e-4bc5-81ad-ab1a81d411e3,['ics-attack'],['T0845'],Program Upload,adversaries may attempt to upload a program from a plc to gather information about an industrial process  uploading a program may allow them to acquire and study the underlying logic  methods of program upload include vendor software  which enables the user to upload and read a program running on a plc  this software can be used to upload the target program to a workstation  jump box  or an interfacing device 
attack-pattern--32632a95-6856-47b9-9ab7-fea5cd7dce00,['ics-attack'],['T0819'],Exploit Public-Facing Application,adversaries may leverage weaknesses to exploit internet facing software for initial access into an industrial network  internet facing software may be user applications  underlying networking implementations  an assets operating system  weak defenses  etc  targets of this technique may be intentionally exposed for the purpose of remote management and visibility_  an adversary may seek to target public facing applications as they may provide direct access into an ics environment or the ability to move into the ics network  publicly exposed applications may be found through online tools that scan the internet for open ports and services  version numbers for the exposed application may provide adversaries an ability to target specific known vulnerabilities  exposed control protocol or remote access ports found in commonly used port may be of interest by adversaries 
attack-pattern--3405891b-16aa-4bd7-bd7c-733501f9b20f,['ics-attack'],['T0811'],Data from Information Repositories,adversaries may target and collect data from information repositories  this can include sensitive data such as specifications  schematics  or diagrams of control system layouts  devices  and processes  examples of information repositories include reference databases or local machines in the process environment  as well as workstations and databases in the corporate network that might contain information about the ics_ citation  cybersecurity   infrastructure security agency march        information collected from these systems may provide the adversary with a better understanding of the operational environment  vendors used  processes  or procedures of the ics_  in a campaign between      and      against ong organizations  chinese state sponsored actors searched document repositories for specific information such as  system manuals  remote terminal unit  rtu  sites  personnel lists  documents that included the string scad   user credentials  and remote dial up access information   citation  cisa aa      a pipeline intrusion july      
attack-pattern--35392fb4-a31d-4c6a-b9f2-1c65b7f5e6b9,['ics-attack'],['T0864'],Transient Cyber Asset,adversaries may target devices that are transient across ics networks and external networks  normally  transient assets are brought into an environment by authorized personnel and do not remain in that environment on a permanent basis   citation  north american electric reliability corporation june       transient assets are commonly needed to support management functions and may be more common in systems where a remotely managed asset is not feasible  external connections for remote access do not exist  or  rd party contractor vendor access is required    adversaries may take advantage of transient assets in different ways  for instance  adversaries may target a transient asset when it is connected to an external network and then leverage its trusted access in another environment to launch an attack  they may also take advantage of installed applications and libraries that are used by legitimate end users to interact with control system devices    transient assets  in some cases  may not be deployed with a secure configuration leading to weaknesses that could allow an adversary to propagate malicious executable code  e_g_  the transient asset may be infected by malware and when connected to an ics environment the malware propagates onto other systems    in the maroochy shire attack  the adversary utilized a computer  possibly stolen  with proprietary engineering software to communicate with a wastewater system_ citation  marshall abrams july      
attack-pattern--36e9f5bc-ac13-4da4-a2f4-01f4877d9004,['ics-attack'],['T0835'],Manipulate I/O Image,adversaries may manipulate the i o image of plcs through various means to prevent them from functioning as expected  methods of i o image manipulation may include overriding the i o table via direct memory manipulation or using the override function used for testing plc programs   citation  dr  kelvin t  erickson december       during the scan cycle  a plc reads the status of all inputs and stores them in an image table   citation  nanjundaiah  vaidyanath  the image table is the plcs internal storage location where values of inputs outputs for one scan are stored while it executes the user program  after the plc has solved the entire logic program  it updates the output image table  the contents of this output image table are written to the corresponding output points in i o modules    one of the unique characteristics of plcs is their ability to override the status of a physical discrete input or to override the logic driving a physical output coil and force the output to a desired status 
attack-pattern--38213338-1aab-479d-949b-c81b66ccca5c,['ics-attack'],['T0842'],Network Sniffing,network sniffing is the practice of using a network interface on a computer system to monitor or capture information  citation  enterprise att ck january       regardless of whether it is the specified destination for the information    an adversary may attempt to sniff the traffic to gain information about the target  this information can vary in the level of importance  relatively unimportant information is general communications to and from machines   relatively important information would be login information  user credentials may be sent over an unencrypted protocol  such as telnet  that can be captured and obtained through network packet analysis    in addition  arp and domain name service  dns  poisoning can be used to capture credentials to websites  proxies  and internal systems by redirecting traffic to an adversary 
attack-pattern--3b6b9246-43f8-4c69-ad7a-2b11cfe0a0d9,['ics-attack'],['T0851'],Rootkit,adversaries may deploy rootkits to hide the presence of programs  files  network connections  services  drivers  and other system components  rootkits are programs that hide the existence of malware by intercepting and modifying operating system api calls that supply system information  rootkits or rootkit enabling functionality may reside at the user or kernel level in the operating system  or lower   citation  enterprise att ck january           firmware rootkits that affect the operating system yield nearly full control of the system  while firmware rootkits are normally developed for the main processing board  they can also be developed for the i o that is attached to an asset  compromise of this firmware allows the modification of all of the process variables and functions the module engages in  this may result in commands being disregarded and false information being fed to the main device  by tampering with device processes  an adversary may inhibit its expected response functions and possibly enable
attack-pattern--3de230d4-3e42-4041-b089-17e1128feded,['ics-attack'],['T0802'],Automated Collection,adversaries may automate collection of industrial environment information using tools or scripts  this automated collection may leverage native control protocols and tools available in the control systems environment  for example  the opc protocol may be used to enumerate and gather information  access to a system or interface with these native protocols may allow collection and enumeration of other attached  communicating servers and devices 
attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b,['ics-attack'],['T0804'],Block Reporting Message,adversaries may block or prevent a reporting message from reaching its intended target  in control systems  reporting messages contain telemetry data  e_g_  i o values  pertaining to the current state of equipment and the industrial process  by blocking these reporting messages  an adversary can potentially hide their actions from an operator_  blocking reporting messages in control systems that manage physical processes may contribute to system impact  causing inhibition of a response function  a control system may not be able to respond in a proper or timely manner to an event  such as a dangerous fault  if its corresponding reporting message is blocked   citation  bonnie zhu  anthony joseph  shankar sastry         citation  electricity information sharing and analysis center  sans industrial control systems march      
attack-pattern--40b300ba-f553-48bf-862e-9471b220d455,['ics-attack'],['T0855'],Unauthorized Command Message,adversaries may send unauthorized command messages to instruct control system assets to perform actions outside of their intended functionality  or without the logical preconditions to trigger their expected function  command messages are used in ics networks to give direct instructions to control systems devices  if an adversary can send an unauthorized command message to a control system  then it can instruct the control systems device to perform an action outside the normal bounds of the device's actions  an adversary could potentially instruct a control systems device to perform an action that will cause an   citation  bonnie zhu  anthony joseph  shankar sastry        in the maroochy shire attack  the adversary used a dedicated analog two way radio system to send false data and instructions to pumping stations and the central computer_ citation  marshall abrams july        in the dallas siren incident  adversaries were able to send command messages to activate tornado alarm systems across the city without an impending tornado or other disaster   citation  zack whittaker april        citation  benjamin freed march      
attack-pattern--493832d9-cea6-4b63-abe7-9a65a6473675,['ics-attack'],['T0809'],Data Destruction,adversaries may perform data destruction over the course of an operation  the adversary may drop or create malware  tools  or other non native files on a target system to accomplish this  potentially leaving behind traces of malicious activities  such non native files and other data may be removed over the course of an intrusion to maintain a small footprint or as a standard part of the post intrusion cleanup process   citation  enterprise att ck january        data destruction may also be used to render operator interfaces unable to respond and to disrupt response functions from occurring as expected  an adversary may also destroy data backups that are vital to recovery after an incident_  standard file deletion commands are available on most operating system and device interfaces to perform cleanup  but adversaries may use other tools as well  two examples are windows sysinternals sdelete and active  killdisk 
attack-pattern--4c2e1408-9d68-4187-8e6b-a77bc52700ec,['ics-attack'],['T0832'],Manipulation of View,adversaries may attempt to manipulate the information reported back to operators or controllers  this manipulation may be short term or sustained  during this time the process itself could be in a much different state than what is reported    citation  michael j  assante and robert m  lee   citation  tyson macaulay    operators may be fooled into doing something that is harmful to the system in a loss of view situation  with a manipulated view into the systems  operators may issue inappropriate control sequences that introduce faults or catastrophic failures into the system  business analysis systems can also be provided with inaccurate data leading to bad management decisions 
attack-pattern--50d3222f-7550-4a3c-94e1-78cb6c81d064,['ics-attack'],['T0810'],Data Historian Compromise,adversaries may compromise and gain control of a data historian to gain a foothold into the control system environment  access to a data historian may be used to learn stored database archival and analysis information on the control system  a dual homed data historian may provide adversaries an interface from the it environment to the ot environment    dragos has released an updated analysis on crashoverride that outlines the attack from the ics network breach to payload delivery and execution    citation  industroyer   dragos           the report summarized that crashoverride represents a new application of malware  but relied on standard intrusion techniques  in particular  new artifacts include references to a microsoft windows server      host  with a sql server  within the ics environment  such a database server can act as a data historian  dragos noted a device with this role should be  expected to have extensive connections  within the ics environment  adversary activity leveraged database capabilities to perform reconnaissance  including directory queries and network connectivity checks_  permissions required  administrator  contributors  joe slowik   dragos
attack-pattern--539d0484-fe95-485a-b654-86991c0d0d00,['ics-attack'],['T0841'],Network Service Scanning,network service scanning is the process of discovering services on networked systems   this can be achieved through a technique called port scanning or probing   port scanning interacts with the tcp ip ports on a target system to determine whether ports are open  closed  or filtered by a firewall   this does not reveal the service that is running behind the port  but since many common services are run on  specific port numbers   the type of service can be assumed   more in depth testing includes interaction with the actual service to determine the service type and specific version   one of the most popular tools to use for network service scanning is  nmap _  an adversary may attempt to gain information about a target device and its role on the network via network service scanning techniques  such as port scanning   network service scanning is useful for determining potential vulnerabilities in services on target devices   network service scanning is closely tied to _  scanning ports can be noisy on a network  in some attacks  adversaries probe for specific ports using custom tools  this was specifically seen in the triton and plc blaster attacks 
attack-pattern--53a26eee-1080-4d17-9762-2027d5a1b805,['ics-attack'],['T0872'],Indicator Removal on Host,adversaries may attempt to remove indicators of their presence on a system in an effort to cover their tracks  in cases where an adversary may feel detection is imminent  they may try to overwrite  delete  or cover up changes they have made to the device 
attack-pattern--53a48c74-0025-45f4-b04a-baa853df8204,['ics-attack'],['T0877'],I/O Image,adversaries may seek to capture process values related to the inputs and outputs of a plc  during the scan cycle  a plc reads the status of all inputs and stores them in an image table   citation  nanjundaiah  vaidyanath  the image table is the plcs internal storage location where values of inputs outputs for one scan are stored while it executes the user program  after the plc has solved the entire logic program  it updates the output image table  the contents of this output image table are written to the corresponding output points in i o modules_  the input and output image tables described above make up the i o image on a plc  this image is used by the user program instead of directly interacting with physical i o   citation  spenneberg  ralf         adversaries may collect the i o image state of a plc by utilizing a devices  native  to access the memory regions directly  the collection of the plcs i o state could be used to replace values or inform future stages of an attack 
attack-pattern--56ddc820-6cfb-407f-850b-52c035d123ac,['ics-attack'],['T0815'],Denial of View,adversaries may cause a denial of view in attempt to disrupt and prevent operator oversight on the status of an ics environment  this may manifest itself as a temporary communication failure between a device and its control source  where the interface recovers and becomes available once the interference ceases    citation  michael j  assante and robert m  lee   citation  tyson macaulay    an adversary may attempt to deny operator visibility by preventing them from receiving status and reporting messages  denying this view may temporarily block and prevent operators from noticing a change in state or anomalous behavior  the environment's data and processes may still be operational  but functioning in an unintended or adversarial manner    in the maroochy shire attack  the adversary temporarily shut an investigator out of the network  preventing them from viewing the state of the system_ citation  marshall abrams july      
attack-pattern--5a2610f6-9fff-41e1-bc27-575ca20383d4,['ics-attack'],['T0871'],Execution through API,adversaries may attempt to leverage application program interfaces  apis  used for communication between control software and the hardware  specific functionality is often coded into apis which can be called by software to engage specific functions on a device or other software 
attack-pattern--5e0f75da-e108-4688-a6de-a4f07cc2cbe3,['ics-attack'],['T0862'],Supply Chain Compromise,adversaries may perform supply chain compromise to gain control systems environment access by means of infected products  software  and workflows  supply chain compromise is the manipulation of products  such as devices or software  or their delivery mechanisms before receipt by the end consumer  adversary compromise of these products and mechanisms is done for the goal of data or system compromise  once infected products are introduced to the target environment    supply chain compromise can occur at all stages of the supply chain  from manipulation of development tools and environments to manipulation of developed products and tools distribution mechanisms  this may involve the compromise and replacement of legitimate software and patches  such as on third party or vendor websites  targeting of supply chain compromise can be done in attempts to infiltrate the environments of a specific audience  in control systems environments with assets in both the it and ot networks  it is possible a supply chain compromise affecting the it environment could enable further access to the ot environment      counterfeit devices may be introduced to the global supply chain posing safety and cyber risks to asset owners and operators  these devices may not meet the safety  engineering and manufacturing requirements of regulatory bodies but may feature tagging indicating conformance with industry standards  due to the lack of adherence to standards and overall lesser quality  the counterfeit products may pose a serious safety and operational risk   citation  control global may         yokogawa identified instances in which their customers received counterfeit differential pressure transmitters using the yokogawa logo  the counterfeit transmitters were nearly indistinguishable with a semblance of functionality and interface that mimics the genuine product   citation  control global may         f secure labs analyzed the approach the adversary used to compromise victim systems with havex   citation  daavid hentunen  antti tikkanen june       the adversary planted trojanized software installers available on legitimate ics scada vendor websites  after being downloaded  this software infected the host computer with a remote access trojan  rat  
