id,name,description,detects
T1556.003,authent modul,valu plain modul hat file man backdoor patch authent code credenti exchang system user shadow account adversari guid password pamunix harvest access passwd etc inform suppli configur abus librari text compon store servic pam resourc modif appl,build session auditd login modul use correl file vpn exampl share log process monitor time busi ex machin admin system tool user account activ aid etc path chang inform configur access behavior integr hour ownership servic logon secur pam
T1578.004,revert instanc cloud,snapshot environ dashboard tech infrastructur aw instanc presenc machin remov vm type techniqu activ attempt adversari manag evid data storag chang base api revert provid stop cloud detect republ variat,snapshot tag deactiv oper use log rollback plan persist monitor instanc one action header system type review procedur support vm activ manag identifi addit storag chang configur provid cloud modif event
T1148,histcontrol,environ cover keep use file maco start exampl log exist respect bashhistori code default track histori system user linux adversari command trace configur set histcontrol space ignorespac leav ignoredup also,
T1592,inform victim host,scan t1588 name reconnaiss use resourc collect languag websit t1598 visitor way victim varieti detail mitr design databas t1587 ex t1595 action system host form techniqu t1133 content site adversari compromis regard t1594 data function access inform suppli chain configur ip attack search set opportun scanbox http t1195 medium servic t1596 org domain capabl t1593 target,use stage internet occurr visitor infrastructur rate design focus lifecycl dec effort host associ content activ adversari access visibl inform organ defend scanner threatconnect scanbox place pattern detect look target
T1596.003,certif,scan cert name t1588 locat reconnaiss use tl artifact sign issu ssl threat t1598 encrypt victim actor traffic mitr regist t1587 ex t1595 order tool form web techniqu t1133 author content relationship t1199 adversari ca data lookup harvest sourc access inform organ trust attack search origin opportun http communic sslshopper medium servic org resourc certif capabl target,
T1056.001,,t1056 callback registri blog custom session login hook use dump method input keystrok cisco hardwar log adventur way process time focus imag credenti intercept period effort buffer system type user techniqu captur window devic adversari function acquir data access attack driver opportun api http t1003 legaci org t1601 network modif mitr,registri valu file keystrok key adventur kernel process monitor disk keylog window call setwindowshook activ write data inform instal getasynckeyst indic chang driver api modif getkeyst
T1222.002,permiss linux directori file modif mac,mode step use analysi file icacls1 maco chown owner persist taint icacls2 acl code action tool permiss user techniqu hybrid linux chmod adversari group other attribut t1546 nuanc command access chang shell control configur attack flow set base http implement list binari org directori t1574 june execut modif platform mitr,build audit analysi correl file icacls1 maco process monitor rate icacls2 folder acl code system knowledg permiss tool argument techniqu hybrid activ attempt chmod attribut alert util command access chang control configur indic list ownership directori june modif event
T1110.001,guess password,environ mssql ftp email trend interfac wifi vnc credenti default tcp sso window number mechan adversari addit micro cloud servic cleaver event guess le cert lock snmp protocol wlanapi trigger udp emotet authent lockout system follow password manag abus router id mysql forc logon offic option use polici sign failur cylanc knowledg oracl devic account ta18 068a kerbero network ldap complex login oper ssh rdp applic smb samba connect attempt port access organ base telnet http list netbio target,login failur log crack monitor authent mitr applic ex credenti system gain result window techniqu account attempt password spray access hash attack t1078 scope http eid forc network org target
T1216.001,pubprn,payload domain1 basic restrict second refer printer use solut t1059 mydomain vice file sign exampl protocol remot container1 updat folder code scriptlet applic com paramet host window techniqu vbs account dc follow adversari site pubprn version command cn printer1 shell control abus attack set script microsoft behavior http sct proxi signatur exe bypass servic limit org directori 003 cscript domain execut ldap valid monik mitr,use cycl file process patch monitor action system captur run argument vbs administr attempt pubprn function command script intent proxi cscript execut
T1597.002,purchas data,scan t1588 pay reconnaiss use resourc websit threat t1598 subscript aggreg infrastructur victim fee actor detail mitr databas sell t1587 ex credenti cybercrim form web techniqu t1133 account employe adversari regard breach sourc data access inform contact attack search opportun t1078 http dark servic purchas org blackmarket domain zdnet capabl limit t1593 also target,
T1003,credenti dump,custom mention login use dump softwar tester movement tactic credenti system tool associ techniqu sub account attempt adversari password access hash inform text attack http org secur materi ta0008 mitr,subsystem name lsa line sept traffic packet credenti section default window watch call systemroot activ adversari function gt path configur attack api t1078 dumper pattern exe defens distribut servic r2 mitr registri avoid build drsr analysi know anomali softwar protocol proc authent structur linkbyid help getnccchang config system syntax argument linux follow password manag compromis data stock ip script communic filesystem powershel ship secur org domain flow t1055 map s0002 adsecur use modul dump inspect t1059 correl log exist monitor replic lsass code mimikatz system32 request account devic samr command inform copi control inject featur pid microsoft lt network execut materi powersploit program login sam file method tabl key process dcsync detail hostil dec tool associ techniqu connect well attempt other alert access indic creation text http store memori detect directori server note hash
T1129,share modul,payload t1106 name program dll modul ntfs manifest use filenam loadfrom wikipedia file part share exampl loadlibrari instruct load way x3c victim forward createprocess ntdll convent code extens applic system window techniqu dlls pathnam call adversari symlink function unc path x3e entri attack librari featur api http compon export junction exe specif network org directori malwar loader import mitr,payload dll modul use know softwar need bundl share load monitor routin deviat code circumst system window call systemroot amount data function path behavior programfil api defens directori limit
T1602,configur repositori data,cert 106a use snmp softwar repositori protocol remot quantiti varieti 156a order system administr devic ta18 adversari manag data access control configur abus discoveri store object ta17 target,leverag inspect tl ssl protocol encrypt traffic monitor applic packet host associ connect content follow attempt data access layer configur send pattern network flow
T1561.002,structur disk,t1021 leverag nov locat dump avail file partit tabl impact alto worm share load comput process disk boot stonedril mitr design structur code palo credenti target kasperski smb admin system t1561 number techniqu window content account attempt adversari mbr shamoon fireey shamoon3 data inform organ attack featur present unit http t1078 drive master isol t1003 symantec network org malwar sector resourc record,locat superblock partit tabl bio kernel process monitor disk boot record block structur point target paramet system number argument devic activ mount attempt data command storag chang instal driver drive master network sector resourc letter avail
T1498.001,network flood,build volum flood use internet avail march protocol infrastructur profil seri traffic time t1498 packet target conduct circumst tcp system techniqu client ddos case denial attempt adversari amount bank function control attack http incid botnet servic network org resourc rent mitr,volum artifact impact log highlight process monitor traffic time metric health ex error applic host data sensor messag caus provid respons communic servic detect network flow except avail
T1492,manipul data store,insert outcom custom goal make campaign doj file impact softwar email affect soni process varieti busi databas order system type format expertis well activ attempt adversari decis data access inform hide desir rest lazarus store object modif offic,
T1574.007,path environ intercept variabl,payload environ cmd name program locat use variabl net method exampl line load give code python system32 system window call systemroot adversari command path entri librari search script place powershel list store binari exe directori,registri environ name program session locat variabl findstr file hkeylocalmachin key process patch monitor upgrad currentcontrolset code python system user window administr activ adversari manag path instal control creation search list directori modif
T1213.002,sharepoint,valu leverag test project develop link standard polici repositori exampl share mine diagram structur work snippet code credenti document system procedur physic adversari sharepoint sourc function inform list network resourc schedul architectur,privileg environ page leverag valu use uba schema artifact repositori exampl log platform mine exist monitor matur applic document report mean type user number administr account sharepoint alert sourc data access inform messag enterpris behavior base microsoft analyt parti logon detect directori domain capabl view
T1006,volum access,powersploit program volum file monitor structur action system tool window techniqu github well ninjacopi adversari util data access control powershel bypass hakobyan,powersploit volum make protect t1059 file log process monitor handl system github argument techniqu ninjacopi data command copi attack script http drive powershel org mitr
T1044,file weak system permiss,event privileg payload dll use level context file softwar start part exampl seclist take persist process temp time mitr escal one extract code ex order report action t1088 mean manipul system gain permiss user techniqu run window dlls account t1038 result adversari subdirectori function access instal networkservic advantag self attack search set behavior control http weak place vendor binari bypass servic org directori bootup domain execut localservic thread variat target,
T1564.008,rule hide email,le use t1534 t1059 word maco email line mailbox mark hack folder rule code credenti bodi system spearphish user techniqu window client administr phish account content adversari compromis messag alert function c2 hide organ abus featur attack set send microsoft defend base move http respons read inboxrul powershel communic cloud detect org secur malwar subject app inbox cmdlet mitr,use campaign artifact file maco email log mailbox monitor bec rule applic code plist system window user client activ syncedrul compromis entri configur messag creation set microsoft powershel inboxrul parti rulesactivest unsyncedrul messagerul inbox modif cmdlet
T1491.002,defac,hacker dive senat propaganda catalyst websit threat intellig trend trigger t1189 victim order precursor target action distrust intimid system user techniqu question industri site attempt adversari group statement compromis spread setup committe t1491 organ messag attack defac integr http drive respons medium govern org govt event hacktivist mitr,use inspect correl artifact file anomali websit protocol line log process monitor traffic structur packet applic intimid system user associ syntax argument connect content attempt follow command chang organ messag defac pattern parti execut flow
T1171,poison nbt llmnr relay,resolut scan name step link plaintext resourc use wire t1110 spoofer method wikipedia conjunct softwar crack victim udp traffic authent monitor mitr poison technet dns code credenti nbt respond intercept target smb metasploit system host window format request tool techniqu s0174 github case ident adversari password attempt port ntlm identif idea sourc access path inform control t1040 attack spoof send base microsoft relay nbnspoof http compon forc servic network ntlmv2 org domain llmnr netbio hash,
T1590.005,address ip,scan locat reconnaiss use resourc collect internet websit t1598 dumpster t1583 way infrastructur victim varieti detail mitr whoi block databas dns ex t1595 size action form host t1133 techniqu address rang adversari compromis data acquir access inform organ ip attack search set opportun t1584 http provid servic t1596 org domain t1593 target,
T1499.001,exhaust flood,demand leverag ackflood cloudflar launch flood exhaust endpoint arbor abil natur tabl handshak protocol confirm way exist corero work packet tcp state system request ack number connect match denial adversari amount synflood maximum access requir jan self attack syn send search caus annualdosreport capac do forc servic server resourc limit target,use inspect correl anomali file endpoint impact artifact protocol line log highlight process monitor traffic time metric structur packet health ex error applic host associ syntax argument connect follow data command sensor messag caus respons communic pattern servic detect network execut effect flow except avail
T1014,rootkit,program hook use level file t1542 wikipedia mac kernel exist boot mitr presenc intercept system window user connect techniqu blackhat call osx linux adversari function suppli inform hide driver attack api http compon master firmwar symantec servic network rootkit malwar hypervisor org record,program use protect file virus wikipedia softwar exist monitor point presenc system tool type connect dlls devic mount mbr data storag chang driver set behavior drive compon firmwar servic detect network rootkit modif letter
T1546.013,profil powershel,privileg environ program session flag launch consol use modul t1059 start exampl load trigger persist profil comput time studio code wit gain support run techniqu user host administr open content account adversari ps1 function command attack ise script microsoft noprofil http drive powershel logon org domain mitr,privileg locat modul sheet exampl hostprogram load trigger persist profil process monitor pshome code document cheat archaeolog gain content ps1 command home microsoft drive powershel store malwar modif
T1059.007,javascript,environ team standard mac part line t1189 interfac osascript sparrow engin window model explor bridg adversari feb2021 util attack behavior t1027 api implement object mitr payload leverag osa t1559 html specterop system jscrip compromis abus script nodej download org platform appl runtim t1059 languag websit hta osacompil jscript time code webpag host osx jxa autom content command inform control microsoft compon rest osakit execut capabl framework javascript page program browser internet file maco applic support techniqu applescript access text base http drive memori silver architectur,dll modul cycl use collect ta0009 languag file usag line jscript load process patch monitor lead ex code tactic action osascript system host associ window run administr captur type argument activ attempt jxa post compromis function command sourc inform indic ta0007 attack behavior script intent api discoveri http exe detect network effect org execut event mitr
T1590.002,dns,scan name reconnaiss use resourc mail websit saa dumpster t1583 way infrastructur victim varieti detail mitr regist subdomain databas txt dns ex t1595 target mx salesforc form host t1133 techniqu address well suit adversari compromis outlin data spf acquir access inform attack search set opportun t1584 http provid parti cloud servic t1596 org server domain zendesk t1593 offic record,
T1501,systemd servic,privileg cover arch page packag use level mail man file march start ubuntu execstartpr bleepingcomput januari sysvinit rapid7 execreload persist upstart process execstartpost victim background fedora boot root freedesktop lib usr extens code systemctl 10jul2018 config default condit debian 22june2016 system 8jul2018 user linux recur adversari interv manag compromis function init systemd initi cento etc command control configur access acroread daemon rhel unit caus store distribut servic 29sep2018 org legaci directori resourc execut gist direct execstart,
T1514,execut prompt,privileg authorizationexecutewithprivileg leverag program develop oper make coldroot use file black grant maco softwar rat masquerad check persist updat victim carbon root break work purpos applic code credenti order machin request user world osx techniqu call mechan adversari feb trick releas sourc instal death abus attack origin behavior shlayer api integr http t1036 org prompt mitr,
T1123,audio captur,leverag use file comput disk purpos applic microphon voic captur system call devic write adversari audio inform script api servic convers malwar webcam video record,leverag comput monitor purpos applic action microphon voic captur associ argument call devic audio command inform api servic convers webcam video record
T1543,process system,payload privileg leverag launch level know maco start part load persist exist process background boot root technet order paramet system window techniqu run user administr osx linux adversari finish interv function initi t1543 configur attack daemon agent http launchd servic detect org effect malwar appledoc mitr,registri payload environ valu level cycl know correl file sysmon softwar part construct line key load persist updat process patch monitor tree ex system invoc result window associ tool techniqu call baselin adversari command chang instal trust driver id daemon api discoveri servic execut event
T1133,servic,environ t1021 leverag locat oper use softwar dashboard remot desktop trend citrix face authent keylog vnc volex applic credenti user window connect techniqu web vpns account mechan adversari hildegard manag compromis micro access kubelet requir gateway attack enterpris docker t1078 http unit servic network org server malwar resourc mitr,environ dhcp login use inspect correl anomali file mac hardwar usag construct protocol log line syntax process traffic authent monitor argument busi structur applic packet window techniqu connect address well associ account factor activ devic adversari metadata manag follow sourc command access attack behavior practic t1078 http hour pattern servic network org execut flow mitr
T1109,compon firmwar,level softwar failur check bio comput disk imag code conduct system host techniqu devic adversari compromis t1019 access attack base integr http compon firmwar defens org capabl mitr,
T1546.006,lcloaddylib addit,lcloaddylib mach oper use lccodesignatur maco tell adjust check dynam load trigger persist taint seri time field header tool osx content dylib adversari command chang librari depend rest signatur binari malwar execut,dll use file line load trigger persist taint updat patch process monitor pe applic header system argument dlls well content command chang checksum creation signatur binari execut look event
T1539,cooki session web,session browser login use campaign mauraena internet muraena websit mac need exampl protocol remot januari middl process pas traffic authent time disk mitr applic ex find credenti cooki crypto period t1550 machin gain system web user techniqu phish github factor adversari april sourc access attack evilginx unit http proxi evilginx2 cloud servic memori network app bypass malwar framework org t1557 token target,program browser login consol dump log process monitor credenti gain user attempt manag access provid cloud servic memori network resourc aw event
T1053.007,contain job orchestr,use task contain threat quantiti persist process time code job matrix tool system run type deploy linux adversari cluster function date configur abus cron kubernet orchestr cronjob node schedul,environ sidecar use file contain log monitor applic job pod deploy creation agent kubernet proxi orchestr node resourc schedul
T1568.002,generat algorithm domain,channel umbrella ru dga name valu istgmxdejdnxuyla make use t1008 word net cisco construct check instruct algorithm fallback traffic time block gibberish ex purpos dgas period mean track mitig form techniqu address well string activ adversari static feb other seed april command generat concaten control advantag ip attack defend contact base destin unit http list cybereason malwar org server domain letter mitr,markov dga name dictionari use analysi word frequenc method pace check univers trigger algorithm cdn challeng entropi myriad random success applic ratio machin host vowel number format string approach gram charact data addit chain high base proport detect malwar secur complex domain score famili
T1036.007,file extens,payload name browser filenam socprim file softwar masquerad polici pcmag usag email exampl lnk hta doubleextens evil txt attach extens ex code tactic imag mean system type explor user gain techniqu well open display jpg attempt adversari trick ta0001 t1566 access t1204 hide configur abus attack text gif scr http doc exe org malwar execut view mitr,ower ex header name user permiss signatur content monitor disk write medium extens data file inform
T1548.002,bypass account control user,fareit davidson uac msdn credenti default com gain window model mechan adversari attack exe anyth object elev mitr uacm know softwar task exampl comput t1559 rundll32 box auto system user permiss password group trust script org secur prompt privileg eventvwr protect use fortinet confirm technet code action github administr rang account control compon program page dll oper level enforc file impact method wild load notif process click movement work track techniqu t1218 access integr http list bypass directori,registri privileg eventvwr environ name analyst mscfile variabl method softwar isolatedcommand exampl key runa owner process uac monitor imag code system user window currentvers argument hkeycurrentus run mechan exefil class sdclt data command path shell chang control inform set microsoft exe bypass app
T1099,timestomp,name use analysi file masquerad exampl take exist time folder action tool techniqu investig deploy activ adversari timestamp hide attack http windowsir t1036 org malwar modif mitr,
T1016.001,connect internet discoveri,use s0097 internet softwar websit check way redirector code system request result connect rout attempt adversari compromis c2 attack discoveri http ping tracert respons proxi org server mitr,check system connect ping tracert process argument monitor compromis internet command
T1548.003,cach,privileg page session sudoer deleg audit use file abil man touch need exampl line issu timestamptimeout ttyticket process monitor time echo root user1 instanc nopasswd code credenti order period default var system type sudo user administr run argument author permiss osx edit adversari group amount password mechan fall termin command timeout superus timestamp etc suppli control cach configur featur db chang script killal trail isol tti proton cybereason malwar minut rang,privileg environ name auditd sudoer use variabl output file input abil log owner process suoder monitor time logoutput imag code system user sudo techniqu argument linux alert function command data etc inform cach abus id base direct loginput
T1560.003,method custom archiv,custom refer use exfiltr stream know method part encrypt cipher algorithm xor archiv compress well adversari util data librari implement,cycl exfiltr prevent file intrus encrypt patch monitor focus extens action effort header system type associ run loss administr captur activ write follow attempt data function script transit intent detect network
T1578,cloud infrastructur,snapshot restrict delet mandiant trend infrastructur instanc presenc machin remov gain permiss account attempt adversari evid access creation compon defens cloud servic bypass detect modif,snapshot absenc environ tag deactiv volum runinst audit oper cloudtrail use delet part exampl usag log rollback plan persist infrastructur monitor gcloud time view instanc one block googl presenc action period machin header admin system type review procedur support vm user captur account activ follow mount terminateinst manag identifi addit storag chang chain configur creation search behavior sequenc provid compon isol cloud aw modif event
T1069,group permiss discoveri,set permiss user account attempt adversari group membership help find inform,event environ oper artifact part construct line instrument log process monitor movement extract action system tool window techniqu argument associ activ adversari group manag data command acquir chain inform messag behavior base set discoveri isol powershel list cloud servic network view
T1114,collect email,user client adversari trade mail server data inform email target,locat mcmichael artifact email line mailbox forward exchang paramet window number client bear activ autoforward addit set api pattern build exfiltr exampl authent challeng forwardingsmtpaddress auto system user argument match compromis manag messag powershel appear platform privileg side use need monitor code tim action host administr suspect account smtp command inform featur present microsoft network mailfwdbi volum login oper level mail file usag instrument webmail process face rule ex header tool connect address investig attempt access organ indic send destin detect server
T1003.002,manag secur account,registri build s0002 level use sam secretsdump file softwar start process databas extract code mimikatz find credenti gsecdump s0008 system host window techniqu user number tool github account administr attempt adversari manag command access hash hklm attack guest http exe store memori secur org reg creddump7 note materi pwdumpx mitr,registri avoid use dump sam file tabl key monitor mitr databas extract help code credenti config system32 system window techniqu argument well systemroot account devic attempt other adversari manag compromis password command access copi attack t1078 http dumper store defens memori secur detect org materi hash
T1596.002,whoi,registri scan name reconnaiss rir use internet domain threat line t1598 t1583 infrastructur victim actor whoi regist mitr block ex t1595 public anyon form t1133 queri techniqu relationship t1199 adversari compromis util data command sourc acquir access inform ip contact search attack opportun t1584 trust http servic pillag org server resourc target,
T1542.001,firmwar system,output wikipedia input softwar hardwar exampl bio comput persist updat interfac uefi mean system efi activ adversari function sophist firmwar capabl,blog intel copernicus differ modul dump use analysi know chipsec log bio patch monitor uefi imag system efi github attempt write measur chang mcafe behavior hackingteam firmwar read list binari rootkit modif framework mitr
T1594,websit search victim,name locat reconnaiss oper use websit email depart t1598 highlight victim varieti detail comparitech mitr busi databas role ex t1585 divis form t1589 phish techniqu address relationship account site employe adversari t1199 compromis t1566 data sourc access inform trust contact search attack opportun http leak t1586 t1596 org resourc info also target,reconnaiss refer artifact quantiti traffic field success request web user string activ adversari metadata sourc crawl agent http network
T1069.003,cloud group,environ getbucketacl leverag use get team endpoint msolrol exampl googleapi owner member interfac cloudident role help googl code acl find v1 document bucket exchang com knowledg tool permiss user associ github well account attempt adversari group ident hill offic cli command access inform ad set microsoft api http provid az raindanc powershel list cloud resourc object aw cmdlet target,set permiss associ argument process monitor attempt activ cloud group list extract data command find event
T1574.011,registri servic weak permiss,name custom context flaw start failurecommand persist malwarehidesservic imagepath tree escal order paramet window activ adversari function add hklm configur attack set insecureregperm kansa exe servic mitr registri payload hkeylocalmachin softwar exampl tweet point perform system permiss user group data chang driver powershel servicedl org reg secur domain localservic privileg subkey launch use t1059 code svchost trojzegost account inform control execut collector program dll perm microsoftservicesregistrytre file anytim key currentcontrolset tool techniqu servicenam access entri networkservic http s0075 weak export list store sc binpath,registri show valu program launch use correl softwar start failur instrument log key exist updat currentcontrolset monitor process code applic paramet system window argument activ adversari manag data command path chang hklm powershel servic execut modif outlier
T1596.001,dns,name reconnaiss use resourc mail websit nameserv repositori threat dumpster log t1583 infrastructur victim varieti detail actor mitr regist subdomain dns ex target form host t1133 queri address techniqu well relationship t1199 adversari compromis t1594 outlin data misconfigur sourc acquir access inform organ trust attack search opportun t1584 http respons leak servic network org server domain t1593 record,
T1499.003,exhaust flood applic,featur system request web arbor annualdosreport denial resourc adversari servic exampl exhaust server applic avail access jan target,leverag use level inspect tl correl anomali file endpoint impact artifact ssl protocol line log instrument encrypt highlight process monitor traffic time metric databas structur packet health ex error applic target host associ syntax argument connect web type denial data command sensor addit messag featur attack caus respons communic pattern parti servic detect network execut effect server resourc flow except avail
T1163,rc,rc launch use file method maco start mac item line way persist process boot root code system user techniqu argument adversari util sourc command function startup etc shell deprec hide reboot set common script agent daemon favor malwar,
T1195.001,tool develop depend compromis softwar,npm project develop receipt use softwar victim purpos applic code tactic mean tool system user adversari compromis data function sourc trendmicro consum set desir depend target,check scan verif integr test take signatur updat deploy activ mechan use attempt download softwar hash
